location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI
3,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,29,7.577678,0.0413954526315789,0.0635584140350876,0.0321022596491228,0.0329994245614035,0.0254813192982456,0.0259738526315789,0.0228639719298245,0.0235661614035087,0.0090094596491228,0.0067169543859649,0.0412,0.0634,0.0318,0.0323,0.025,0.025,0.0223,0.0232,0.0081,0.006,0.00112145862212681,0.00101700172513067,0.00131217657812366,0.00159881793433705,0.0134998139753248,0.0109546165884193,0.753181612633822,0.770212769508361
4,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,26,4.703643,0.0472248102333427,0.0683082372786055,0.0389183019398369,0.0398747540061849,0.0334924936744447,0.033686083778465,0.031139752600506,0.0294970059038515,0.0160254568456564,0.0126824711835816,0.0472,0.0686,0.0388,0.0397,0.0335,0.0339,0.0312,0.0289,0.0159,0.0125,0.00104633058461904,0.0011720361082556,0.00129144316320387,0.000568099187106053,0.0122263127267477,0.0130208333333333,0.620272619974958,0.622775793075561
5,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,30,6.851606,0.0471340864440078,0.0674560342408083,0.0425003087285995,0.0423467583497053,0.0329022031995509,0.0319440780241369,0.0293174150996351,0.0274438675273645,0.0180304939657592,0.0139750771821498,0.047,0.0677,0.0424,0.0423,0.0327,0.0323,0.0291,0.0276,0.0181,0.014,0.001457379688193,0.00127160877980817,0.00107259291231855,0.0010138814307184,-0.0018565454554768,-0.00245700245700244,0.57815557264927,0.578088581562042
6,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,27,8.969316,0.0454956765861875,0.0678866226838854,0.0381244385176866,0.0395567798989331,0.0358354295339696,0.0365492279618192,0.0342908618753509,0.0337539444132509,0.0180749298147108,0.0134766282987085,0.0453,0.0679,0.0377,0.0397,0.0354,0.0365,0.0343,0.0334,0.0181,0.0135,0.00151665649162243,0.00157323289070443,0.00148007340491965,0.000829761894218758,0.0186830470430738,0.0144546649145861,0.579478758136788,0.580335736274719
7,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,27,8.757545,0.0573333192982456,0.0730015719298245,0.0533981754385965,0.0553293333333333,0.0447061754385965,0.0437321684210526,0.0443581192982456,0.0400770807017544,0.0310186245614035,0.0252854175438596,0.0586,0.0736,0.0544,0.0576,0.0467,0.046,0.0454,0.0421,0.0325,0.0264,0.00362126776791119,0.0031032351807593,0.0037429036651196,0.00393390175149279,0.0176816822823095,0.0203327171903881,0.405645810704482,0.396518379449844
8,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,28,7.69869,0.0585993400730132,0.0751995226060095,0.0564491575400168,0.0594917158101657,0.0533590845268183,0.054086197697276,0.0518687728166245,0.0493744453805111,0.0367929092951418,0.0300839792193204,0.0598,0.076,0.0576,0.0613,0.0527,0.0566,0.0531,0.0503,0.0383,0.0316,0.00449759572960245,0.00442343452072949,0.00496145731347861,0.00582812498290203,0.0261198769875263,0.028099173553719,0.345101056821859,0.335468381643295
9,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,29,7.940714,0.039185046335299,0.0525174389216512,0.0342903397921932,0.0362257231114855,0.0291709912945801,0.0317337405223251,0.0282353411962931,0.0282976551530468,0.0132893428812131,0.0100325891603482,0.0388,0.0527,0.0342,0.0359,0.0296,0.0316,0.0281,0.0289,0.0133,0.01,0.00178825604733917,0.00188063540758575,0.00183272537031491,0.00132185507236686,0.027760748191114,0.0253353204172876,0.596689994709775,0.598187327384948
10,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,29,6.912112,0.0489428450941804,0.0607775794208602,0.0463794911442226,0.0504415237559741,0.0401867163339893,0.0411214928310373,0.0402594180489176,0.0355725049198763,0.026740441383188,0.0210923952769187,0.0488,0.0608,0.0465,0.0505,0.0405,0.0411,0.0403,0.0357,0.0269,0.0211,0.00108169286446389,0.000798393154412283,0.00081506329860752,0.000531974090363991,0.0420119801550128,0.0414937759336099,0.388918237473175,0.389639645814895
11,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,31,7.123883,0.0332060384777418,0.0413564387024294,0.0293479848335907,0.033944628563404,0.026983415250667,0.0288587838786687,0.0264293919393343,0.0239501895801151,0.0113389552029209,0.00670335627018676,0.0334,0.0415,0.0292,0.034,0.0265,0.029,0.0264,0.0237,0.0114,0.0069,0.00107968662351391,0.000841422411953476,0.000742650426921751,0.000752933907659134,0.0726653202294117,0.0702028081123245,0.569598287331423,0.570621490478515
1,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,26,10.845002,0.0357642997474038,0.0677388577041818,0.0328217793993825,0.045189489194499,0.0176290766208251,0.0194383946112826,0.014849031714847,0.011729329216952,0.00774243614931237,0.00532347740667976,0.0356,0.0675,0.0326,0.045,0.0176,0.0201,0.0145,0.0116,0.0084,0.0051,0.00157032390281855,0.00132722961899509,0.00182403415311124,0.00168254175150639,0.159012417509295,0.16078431372549,0.79561863751382,0.781209766864776
2,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,29,8.545774,0.0366913403508771,0.0692029614035087,0.0341169684210526,0.0460001122807017,0.0181261052631578,0.0170925052631578,0.0152808842105263,0.0100784140350877,0.00658501052631578,0.00540437894736842,0.0366,0.0696,0.0343,0.0461,0.0187,0.0173,0.015,0.0101,0.0063,0.0053,0.00153344017274149,0.00149879856760518,0.0013765489599863,0.00182360007714936,0.148585435067834,0.145341614906832,0.826376923920815,0.831099212169647
3,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,29,9.241593,0.0385610526315789,0.0713472561403508,0.0361894035087719,0.0497558596491227,0.0241177403508771,0.0247341333333333,0.0213801122807017,0.0175590175438596,0.0101709894736842,0.0086927298245614,0.0376,0.071,0.0356,0.0487,0.0233,0.0234,0.0206,0.0167,0.0096,0.0086,0.00325794738528407,0.00314935397184142,0.00303696998380305,0.00362814667231937,0.158401491106028,0.16052318668252,0.752742283687256,0.758949875831604
4,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,26,10.391207,0.0333153781276356,0.0616324430700028,0.0299999297160528,0.043765096991847,0.0190440258644925,0.0193310795614281,0.0165262861962327,0.0127081388810795,0.00341738824852403,0.00246745853247118,0.0332,0.0619,0.0303,0.0438,0.0191,0.0191,0.0166,0.0125,0.0034,0.0024,0.000907211411072234,0.00154471804746167,0.00111010021403777,0.000375507546075709,0.186865279206354,0.183892617449664,0.894901267499242,0.895223438739776
5,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,30,10.209689,0.0329802694358686,0.0694339320797081,0.0333686359809149,0.0467099775470109,0.0162329637945551,0.0172102020769014,0.0128958882963794,0.00899325007016559,0.0039549115913556,0.00253467583497053,0.0331,0.0696,0.0336,0.0468,0.0159,0.0173,0.0129,0.009,0.004,0.0026,0.00111405665126235,0.000796108591138581,0.000665699298148877,0.000390455574368709,0.166651118072524,0.166253101736972,0.89220043694809,0.890560865402221
6,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,27,8.182738,0.0314881807973048,0.0620471224031442,0.0292073554183043,0.0431540847838293,0.0214606400898371,0.0228548427849522,0.0175661145423919,0.0157155109489051,0.00554510106681639,0.00336332116788321,0.0314,0.0618,0.0292,0.0431,0.0206,0.0226,0.0174,0.016,0.005,0.0027,0.000933832905689321,0.00117988397746358,0.000681038503370207,0.00101016778679379,0.192220010364347,0.187410586552217,0.8373112775833,0.850299417972564
7,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,27,7.154136,0.0337002947368421,0.0573266947368421,0.0290350596491228,0.0430549192982456,0.0190897824561403,0.0186656280701754,0.0150867649122807,0.010632,0.0052054596491228,0.00413173333333333,0.0332,0.0568,0.0288,0.0424,0.0192,0.0183,0.0147,0.0103,0.005,0.0043,0.00159567316186812,0.00170456499967985,0.00147397170684962,0.0014125636540764,0.19473421733568,0.196358907672301,0.834193663312678,0.836333870887756
8,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,28,6.367558,0.0377644903117102,0.0631667930356641,0.0344179022746419,0.0512918843021623,0.0271986099410278,0.0291901010951979,0.0251818449873631,0.0193967003650659,0.0111769025554619,0.00754015725919685,0.0366,0.062,0.0334,0.052,0.0276,0.0294,0.0249,0.0202,0.011,0.0082,0.00369020179471448,0.00371939895298008,0.00334333024735188,0.00286392053247407,0.198086225299795,0.205346294046172,0.699903646811981,0.704641342163085
9,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,29,11.147532,0.0337682111766357,0.056021946082561,0.0296954507160909,0.0452611204717775,0.0236808761583824,0.0235224094355518,0.0203054759898904,0.0158397781522044,0.00642785734344285,0.0042551249648975,0.0336,0.0561,0.0296,0.0452,0.0236,0.0234,0.0195,0.0148,0.0064,0.0043,0.00125348503479752,0.00142280558867453,0.000778119321797139,0.00179137848063441,0.207705205858468,0.206349206349206,0.794483136809364,0.799373030662536
10,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,29,8.182738,0.0400357885858869,0.0582499437728422,0.035104456002249,0.0505474697779027,0.0287120466685409,0.0311749789148158,0.0287119763845937,0.0222012932246274,0.0138124683722237,0.0103730953050323,0.0402,0.0584,0.0353,0.0506,0.0299,0.0316,0.0282,0.0228,0.0134,0.0106,0.00285749114574955,0.00379461725278375,0.00357273331016859,0.00342391741485304,0.182129213774954,0.175324675324675,0.61762920512153,0.613933265209198
11,06/30/2025,07/04/2025,-4,Sentinel-2B,Sentinel-2,10.221854,30,SCL_class6_OR_MNDWI_gt_0,31,9.937412,0.0347529841314422,0.0536268782474371,0.0280254599073163,0.0440597668866732,0.0253806487852829,0.0277362870383373,0.0228979637691335,0.0199530543462996,0.00788324673500913,0.00479431259654542,0.0348,0.0534,0.0281,0.0443,0.0254,0.0277,0.0228,0.0193,0.008,0.0048,0.000904733764255231,0.00115153609574938,0.000591088873344222,0.000973509693752124,0.22242580405125,0.224209078404401,0.7437691787223,0.742765247821807
1,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,22,4.824655,0.0993647568287808,0.118690706195869,0.104715073284477,0.128903247834776,0.159177265156562,0.174977381745502,0.12700411392405,0.187260659560293,0.147635493004663,0.115534260493004,0.0907,0.1084,0.1011,0.1426,0.182,0.2081,0.1223,0.2077,0.169,0.1342,0.0379776358722641,0.0378410540537764,0.0367701822357857,0.0681287801286518,0.117331220465646,0.110591900311526,-0.108002650690588,-0.0911549925804138
2,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,29,5.641486,0.0553093754385964,0.0671098245614035,0.0516834526315789,0.0636189754385964,0.0631742175438596,0.0714598035087719,0.0328597192982456,0.0791020912280701,0.060733698245614,0.0515249403508771,0.049,0.0573,0.0388,0.0474,0.0399,0.0466,0.0203,0.0536,0.0406,0.0366,0.0126428964230641,0.0187473838047972,0.023204597416469,0.0241641788324054,0.0914818941127418,0.0997679814385151,0.120503108351899,0.154989391565322
3,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,29,4.552378,0.0518269754385965,0.0814268912280702,0.0411848421052631,0.0470152280701754,0.0180946105263157,0.0163301614035087,0.0117090947368421,0.0105928842105263,0.0117986807017543,0.00880216140350877,0.0518,0.0816,0.0408,0.0464,0.0182,0.0161,0.0117,0.0104,0.0119,0.0085,0.00146466100747763,0.00222518820430787,0.00184396047943072,0.000934794451135634,0.0661363052797083,0.0654420206659013,0.747179164108477,0.749209702014923
4,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,26,7.789449,0.0405768765813888,0.0662714506606691,0.0325988192296879,0.0393078577452909,0.0164172757942086,0.0142205931965139,0.0112417064942367,0.0101073657576609,0.00733271014900197,0.00632683441102052,0.0406,0.0658,0.0324,0.0394,0.0164,0.0143,0.0111,0.01,0.0073,0.0062,0.00110890024948786,0.0011183514917831,0.000624357658083749,0.000405673521340858,0.093357936783234,0.0942334739803095,0.800715580921947,0.800273597240448
5,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,30,6.518823,0.0476751894470951,0.0728623070446253,0.0421701375245579,0.0565848863317429,0.0268695200673589,0.0262193236037047,0.0224378894190289,0.0207579427448779,0.0186931518383384,0.0145458461970249,0.0476,0.0731,0.0426,0.0566,0.0274,0.0271,0.0215,0.0204,0.0189,0.0143,0.00190793663999154,0.00202016500976203,0.00201374168044335,0.0018316628753373,0.146459015422484,0.143700787401574,0.592033628379566,0.585993826389312
6,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,27,6.912112,0.038601838854576,0.064727512633352,0.0323401880965749,0.039378017967434,0.0192494665918023,0.0206296603032004,0.0166025547445255,0.0150064430095452,0.00955658338012352,0.0063378017967434,0.0386,0.065,0.0322,0.0395,0.0192,0.0206,0.0164,0.0147,0.0095,0.0061,0.00102607967827711,0.00160308344861084,0.000645932721676628,0.000657717714975524,0.0981920202500559,0.0991501416430594,0.742634152835637,0.745649278163909
7,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,27,8.60628,0.0397478736842105,0.0550566315789474,0.0310036070175438,0.0357844210526315,0.0130462315789473,0.0117215859649122,0.00785225263157895,0.00727062456140351,0.00961809122807017,0.00747002105263158,0.0396,0.0552,0.0311,0.0361,0.0131,0.0118,0.0079,0.0073,0.0094,0.0074,0.000765905866919425,0.000865827387226368,0.000551118080402394,0.000493274381974404,0.0714754494365854,0.0694864048338368,0.702621931920972,0.70063692331314
8,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,28,8.485268,0.0424766778994664,0.0535959281100814,0.0310626930637461,0.0364210334175793,0.0140046194889076,0.0133130160067396,0.00867451558550968,0.00812580735748385,0.010581648413367,0.00684859590002808,0.0424999999999999,0.0535,0.0311,0.0362,0.0139,0.0133,0.0087,0.0079,0.0104,0.0068,0.000736814364791595,0.00130807928986447,0.000597219321829896,0.000796892881952227,0.0794366916814224,0.0791788856304984,0.670312003945742,0.67532467842102
10,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,29,12.690435,0.766161484396963,0.742099634523474,0.73964728703964,0.800003584481304,0.792424964858026,0.778219890357042,0.748505946021928,0.770008574641551,0.605831796457689,0.531344222659544,0.7752,0.7568,0.748,0.8104,0.7961,0.7807,0.7559,0.7804,0.6104,0.5307,0.0675941163563293,0.0549339432526409,0.0429276348189983,0.0396373528178518,0.0396463598678462,0.0358436368177844,0.0997341794056342,0.106447227299213
11,07/16/2025,07/19/2025,-3,Sentinel-2C,Sentinel-2,39.44014,30,SCL_class6_OR_MNDWI_gt_0,31,14.414856,0.0590270888920095,0.0559312456115714,0.0441869821654262,0.0491959977531245,0.0528408088751579,0.0531694705799747,0.0563815756214014,0.0536599775312456,0.0470738660300519,0.0371510462013762,0.0524,0.051,0.0337,0.0433,0.0383,0.0373,0.044,0.0343,0.0403,0.029,0.0195471707276202,0.0230364769787415,0.0228182508146293,0.0410306725195791,0.0446682630797379,0.0160919540229884,0.142858260187855,0.162872150540351
1,08/07/2025,08/08/2025,-1,Sentinel-2C,Sentinel-2,20.273164,30,SCL_class6_OR_MNDWI_gt_0,26,6.155787,0.0327335672186359,0.0573681307886612,0.0279498175694639,0.0369506735896716,0.0251428992422116,0.0265547010945832,0.0249387314061184,0.0229963373561605,0.0131579006455234,0.00750703059219758,0.0326,0.0574,0.0277,0.0369,0.0251,0.0264,0.025,0.0229,0.013,0.0075,0.000967642165755031,0.000707775914794592,0.000573128546977784,0.000672714187971667,0.138713019314615,0.139751552795031,0.626893474058324,0.630465447902679
2,08/07/2025,08/08/2025,-1,Sentinel-2C,Sentinel-2,20.273164,30,SCL_class6_OR_MNDWI_gt_0,29,5.762498,0.0361088280701754,0.0614364631578947,0.0317249403508771,0.0397215578947368,0.0258224842105263,0.0258323649122807,0.0258277894736842,0.0223517894736842,0.0137978807017543,0.00955817543859649,0.0362,0.0613,0.0317,0.0397,0.0254,0.0258,0.0255,0.0222,0.0138,0.0095,0.00139911641898195,0.00154865597054399,0.00110200336432439,0.00132662302722432,0.112097991834666,0.113604488078541,0.63350425708503,0.630769252777099
3,08/07/2025,08/08/2025,-1,Sentinel-2C,Sentinel-2,20.273164,30,SCL_class6_OR_MNDWI_gt_0,29,5.58098,0.0331657824561403,0.0563639298245614,0.0279251087719298,0.0367327859649122,0.0242538105263157,0.0246675368421052,0.0225311157894736,0.0213054736842105,0.00996224561403508,0.00536138947368421,0.0331,0.0566,0.0279,0.0368,0.0244,0.0247,0.0224,0.0212,0.0099,0.0055,0.000798750510561194,0.000840516799292088,0.000785858967175318,0.000309923085084656,0.136371059687806,0.136150234741783,0.699578997787676,0.701624810695648
4,08/07/2025,08/08/2025,-1,Sentinel-2C,Sentinel-2,20.273164,30,SCL_class6_OR_MNDWI_gt_0,26,7.154136,0.0379788445319089,0.0613723924655608,0.0337479758223221,0.0420538796738825,0.0287435901040202,0.0296779027270171,0.0275511526567332,0.0252242760753443,0.0151790413269609,0.0103614843969637,0.0382,0.0617,0.0335,0.0419,0.0289,0.03,0.0277,0.0254,0.016,0.0098,0.00148364356395054,0.00161886072877627,0.0013450764919628,0.00142236988672943,0.109782753389358,0.111695137976346,0.604094411630056,0.597989976406097
5,08/07/2025,08/08/2025,-1,Sentinel-2C,Sentinel-2,20.273164,30,SCL_class6_OR_MNDWI_gt_0,30,7.486919,0.033674207128824,0.0562677378613528,0.0298686500140331,0.0371079287117597,0.0256731686780802,0.0267707690148751,0.0244631349985966,0.0232768734212742,0.0129108756665731,0.00728238843671063,0.0336,0.0562,0.0299,0.037,0.0257,0.0268,0.0244,0.0233,0.013,0.007,0.00101381567467794,0.000661681360037957,0.000512607712258285,0.000774919350642368,0.108077359112904,0.1071953010279,0.626835977122785,0.629101276397705
6,08/07/2025,08/08/2025,-1,Sentinel-2C,Sentinel-2,20.273164,30,SCL_class6_OR_MNDWI_gt_0,27,7.09363,0.0312455362156092,0.0538608085345311,0.0270938658057271,0.0365313166760247,0.0255944693992139,0.0266862577203817,0.0244473469960696,0.0240791409320606,0.0105993823694553,0.00658961257720381,0.0314,0.054,0.0272,0.0365,0.0256,0.0266,0.0243,0.0236,0.0106,0.0064,0.00105398844034133,0.000942124965863193,0.000406733449282792,0.000479053708281638,0.148333006787483,0.147492104685666,0.671276629222102,0.671779155731201
7,08/07/2025,08/08/2025,-1,Sentinel-2C,Sentinel-2,20.273164,30,SCL_class6_OR_MNDWI_gt_0,26,10.693737,0.0953032500752332,0.102319530544688,0.0733152121576888,0.0839092235931387,0.0818099307854348,0.0821499999999999,0.119084667469154,0.0774270990069214,0.0745765874210051,0.0457773698465242,0.0862,0.0982,0.0716,0.0765,0.0706,0.075,0.1056,0.0655,0.0595,0.0387,0.028858431233427,0.0236258574247211,0.0219735387529055,0.0476504723459578,0.0744139153192712,0.0711479703186381,0.167980663445271,0.153627306222915
8,08/07/2025,08/08/2025,-1,Sentinel-2C,Sentinel-2,20.273164,30,SCL_class6_OR_MNDWI_gt_0,28,9.423111,0.0371792754844145,0.0562575400168492,0.0319537629879247,0.042812945801741,0.0312572872788542,0.0329905223251895,0.0302573574838528,0.0287470373490592,0.0162399887672002,0.00871394271272114,0.0371,0.0561,0.032,0.0423,0.031,0.0326,0.0298,0.0285,0.0166,0.0086,0.00145389606764377,0.00130444686846687,0.00101299591030046,0.00128378327212819,0.145303108129709,0.146341463414634,0.552566813337973,0.552278816699981
